Name,Student_ID,Password,Department,Sem1_Maths,Sem1_Physics,Sem1_Chemistry,Sem1_Programming,Sem1_English,Sem1_Avg,Sem2_Discrete_Math,Sem2_Electronics,Sem2_Data_Structures,Sem2_Communication,Sem2_Environmental_Sci,Sem2_Avg,Sem3_OOP,Sem3_DBMS,Sem3_DSA,Sem3_Digital_Logic,Sem3_Operating_System,Sem3_Avg,Sem4_Microprocessor,Sem4_Software_Engg,Sem4_Computer_Networks,Sem4_Theory_of_Comp,Sem4_Statistics,Sem4_Avg,Sem5_AI,Sem5_Machine_Learning,Sem5_Computer_Graphics,Sem5_Embedded_Systems,Sem5_Control_Systems,Sem5_Avg,Sem6_Deep_Learning,Sem6_Data_Mining,Sem6_Cloud_Computing,Sem6_IOT,Sem6_Compiler_Design,Sem6_Avg,Sem7_Big_Data,Sem7_Cyber_Security,Sem7_Project,Sem7_Research_Methods,Sem7_Internship,Sem7_Avg,GPA,Average_Attendance,Assignments_Submitted,LMS_Activity,Participation,Interest_in_Sports,Culture_Engagement,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average_Attendance
Student_001,STU001,PW0001,CSE,55,57,53,99,75,67.8,63,98,44,82,78,73,46,64,47,46,53,51.2,92,49,97,43,74,71,65,50,84,80,99,75.6,65,62,62,75,56,64,53,89,44,89,86,72.2,67.83,74,20,93,91,Medium,Active,73,90,62,99,99,83,93,65,73,99,98,84,71.33333333
Student_002,STU002,PW0002,CIVIL,42,61,81,90,72,69.2,60,48,63,74,79,64.8,98,50,65,52,53,63.6,66,82,47,77,47,63.8,47,70,51,55,78,60.2,72,40,81,54,90,67.4,46,85,98,99,55,76.6,66.51,80,32,89,58,Low,Moderate,97,96,98,81,89,70,83,61,82,91,91,64,70.33333333
Student_003,STU003,PW0003,MECH,89,86,83,69,73,80,81,49,77,59,97,72.6,66,42,95,54,87,68.8,96,73,82,90,68,81.8,89,83,90,94,76,86.4,71,75,40,52,75,62.6,72,93,64,71,69,73.8,75.14,99,24,92,51,Low,Low,63,60,95,95,70,98,98,68,71,68,98,88,75.83333333
Student_004,STU004,PW0004,CSE,44,81,99,63,82,73.8,44,43,76,47,41,50.2,71,80,61,70,95,75.4,84,99,66,47,69,73,76,60,48,59,50,58.6,73,90,90,63,82,79.6,69,79,93,41,69,70.2,68.69,94,34,67,86,Medium,Moderate,98,88,63,68,61,89,60,87,65,79,73,98,77.75
Student_005,STU005,PW0005,ECE,56,68,81,61,44,62,72,63,84,47,79,69,95,40,86,59,89,73.8,84,57,94,68,66,73.8,58,79,66,94,58,71,45,85,97,74,46,69.4,71,62,43,69,75,64,69,93,30,74,63,High,Moderate,71,75,66,63,97,61,79,94,80,72,63,76,77.75
Student_006,STU006,PW0006,EEE,49,55,78,44,74,60,65,70,71,99,51,71.2,77,47,50,53,43,54,94,67,59,96,82,79.6,94,45,58,95,56,69.6,87,72,94,79,87,83.8,46,56,82,43,56,56.6,67.83,98,48,66,56,Low,Moderate,85,75,76,66,65,73,96,70,82,88,70,87,76.25
Student_007,STU007,PW0007,CIVIL,58,87,55,44,48,58.4,42,72,93,52,55,62.8,97,78,91,41,71,75.6,74,79,59,43,77,66.4,95,98,48,64,68,74.6,74,82,84,41,46,65.4,79,94,57,96,84,82,69.31,89,22,80,59,Low,Moderate,77,78,74,78,71,71,92,91,82,68,84,79,75.66666667
Student_008,STU008,PW0008,CIVIL,42,54,96,49,74,63,52,43,78,57,69,59.8,63,53,94,43,60,62.6,64,46,68,56,53,57.4,57,67,45,73,90,66.4,76,42,72,53,45,57.6,74,78,68,70,48,67.6,62.06,74,44,82,63,Low,Moderate,67,83,74,99,60,64,65,82,83,74,68,69,73.16666667
Student_009,STU009,PW0009,EEE,56,71,99,42,73,68.2,60,61,85,68,61,67,67,79,61,74,64,69,55,61,84,80,98,75.6,72,68,83,57,73,70.6,78,75,43,81,95,74.4,77,91,62,94,89,82.6,72.49,93,37,86,68,Low,Low,83,88,90,64,99,72,65,83,74,90,90,88,79.41666667
Student_010,STU010,PW0010,MECH,44,40,55,63,50,50.4,44,42,79,58,59,56.4,62,84,67,55,68,67.2,96,99,75,92,42,80.8,61,83,85,54,41,64.8,94,54,88,77,84,79.4,87,54,42,74,97,70.8,67.11,90,23,62,51,Medium,Low,75,81,81,83,97,82,72,84,69,88,82,92,69.08333333
